

--------------------------------
﻿"Report PKP per le statistiche d'uso"
"Report di default della PKP sulle statistiche d'uso. E' conforme a COUNTER"
"Metrica: ojs::counter"
"URL del report: https://riviste.unimi.it/index.php/SED/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""256""],""context_id"":70,""month"":""202210""}"

,Tipo,Testata,Città,Nazione,Mese,Conteggio
,Testata,"Società e diritti",,FR,202210,2
,Testata,"Società e diritti",,GB,202210,2
,Testata,"Società e diritti",,IT,202210,26
,Testata,"Società e diritti",,KR,202210,1
,Testata,"Società e diritti",,MX,202210,2
,Testata,"Società e diritti",,UA,202210,1
,Testata,"Società e diritti",,US,202210,4
,Testata,"Società e diritti",Abbiategrasso,IT,202210,1
,Testata,"Società e diritti",Avrainville,FR,202210,2
,Testata,"Società e diritti",Bologna,IT,202210,2
,Testata,"Società e diritti",Casatenovo,IT,202210,1
,Testata,"Società e diritti",Fremont,US,202210,47
,Testata,"Società e diritti",Kolkata,IN,202210,1
,Testata,"Società e diritti",Lagosanto,IT,202210,1
,Testata,"Società e diritti",Lewes,US,202210,1
,Testata,"Società e diritti",Lima,PE,202210,5
,Testata,"Società e diritti",Milan,IT,202210,28
,Testata,"Società e diritti",Mumbai,IN,202210,4
,Testata,"Società e diritti","New York",US,202210,1
,Testata,"Società e diritti",Pavia,IT,202210,2
,Testata,"Società e diritti",Péfki,GR,202210,1
,Testata,"Società e diritti",Podenzana,IT,202210,1
,Testata,"Società e diritti","Port Elizabeth",ZA,202210,1
,Testata,"Società e diritti",Preganziol,IT,202210,1
,Testata,"Società e diritti",Rome,IT,202210,1
,Testata,"Società e diritti",Salento,IT,202210,1
,Testata,"Società e diritti",Seongnam,KR,202210,1
,Testata,"Società e diritti",Southend,GB,202210,18
,Testata,"Società e diritti",Vigevano,IT,202210,2
,Testata,"Società e diritti",Vittuone,IT,202210,1
,Testata,"Società e diritti",Windsor,US,202210,1
,Testata,"Società e diritti",Zhengzhou,CN,202210,2
,Testata,"Società e diritti",,,202210,38


--------------------------------
﻿"Report PKP per le statistiche d'uso"
"Report di default della PKP sulle statistiche d'uso. E' conforme a COUNTER"
"Metrica: ojs::counter"
"URL del report: https://riviste.unimi.it/index.php/SED/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""259""],""context_id"":70,""month"":""202210""}"

,Tipo,Testata,Città,Nazione,Mese,Conteggio
,Fascicolo,"Società e diritti",,GB,202210,3
,Fascicolo,"Società e diritti",,IT,202210,19
,Fascicolo,"Società e diritti",,MX,202210,1
,Fascicolo,"Società e diritti",,US,202210,17
,Fascicolo,"Società e diritti",Bologna,IT,202210,4
,Fascicolo,"Società e diritti",Cattolica,IT,202210,1
,Fascicolo,"Società e diritti",Fairfield,US,202210,3
,Fascicolo,"Società e diritti",Houston,US,202210,1
,Fascicolo,"Società e diritti",Lainate,IT,202210,2
,Fascicolo,"Società e diritti",Lavis,IT,202210,2
,Fascicolo,"Società e diritti",Lima,PE,202210,4
,Fascicolo,"Società e diritti",Milan,IT,202210,22
,Fascicolo,"Società e diritti",Missaglia,IT,202210,1
,Fascicolo,"Società e diritti",Mumbai,IN,202210,1
,Fascicolo,"Società e diritti",Oakland,US,202210,11
,Fascicolo,"Società e diritti",Pavia,IT,202210,7
,Fascicolo,"Società e diritti",Rome,IT,202210,3
,Fascicolo,"Società e diritti","San Francisco",US,202210,1
,Fascicolo,"Società e diritti",Seongnam,KR,202210,1
,Fascicolo,"Società e diritti",Southend,GB,202210,41
,Fascicolo,"Società e diritti",Vigevano,IT,202210,10
,Fascicolo,"Società e diritti",Vittuone,IT,202210,3
,Fascicolo,"Società e diritti",,,202210,25


--------------------------------
