

--------------------------------
﻿"PKP Usage statistics report"
"PKP Default usage statistics report (COUNTER ready)"
"Metric: ojs::counter"
"Report URL: https://riviste.unimi.it/index.php/cinemaetcie/stats/reports/generateReport?metricType=ojs::counter&columns[]=assoc_type&columns[]=context_id&columns[]=city&columns[]=country_id&columns[]=month&filters={""assoc_type"":[""256""],""context_id"":96,""month"":""202210""}"

,Type,Journal,City,Country,Month,Count
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,BE,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,BG,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,BR,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,CA,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,CH,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,CN,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,CZ,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,DE,202210,64
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,DK,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,ES,202210,12
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,EU,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,FR,202210,84
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,GB,202210,24
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,GE,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,HK,202210,11
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,IE,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,IN,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,IR,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,IT,202210,64
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,JP,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,KR,202210,8
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,NG,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,NL,202210,14
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,PL,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,RO,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,RU,202210,21
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,SE,202210,10
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,SK,202210,8
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,TH,202210,17
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,TN,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,TR,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,UA,202210,9
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,US,202210,239
,Journal,"Cinéma & Cie. Film and Media Studies Journal",,UZ,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Abbiategrasso,IT,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Aberdeen,GB,202210,6
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Albano,IT,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Albizzate,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Amherst,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Andover,US,202210,43
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Ann Arbor",US,202210,9
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Ashburn,US,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Åtvidaberg,SE,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Auburn Hills",US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Bad Salzdetfurth",DE,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Bankstown,AU,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Baotou,CN,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Basking Ridge",US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Beijing,CN,202210,29
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Bellevue,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Berceto,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Bergamo,IT,202210,12
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Birkirkara,MT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Blairsville,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Boardman,US,202210,6
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Bologna,IT,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Brescia,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Brivio,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Buda,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Buffalo,US,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Cambridge,US,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Carlsbad,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Cattolica,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Central District",HK,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Chaoyang,CN,202210,7
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Cheboksary,RU,202210,24
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Chengdu,CN,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Cheyenne,US,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Chicago,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Chilpancingo,MX,202210,12
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Cimitile,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Copenhagen,DK,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Cremona,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Dallas,US,202210,17
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Dearborn,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Den Bosch",NL,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Des Plaines",US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Duluth,US,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Fairfield,US,202210,6
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Falls Church",US,202210,235
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Far Rockaway",US,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Feira De Santana",BR,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Ferndale,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Florence,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Fort Worth",US,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Fremont,US,202210,6
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Frosinone,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Fucecchio,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Fuzhou,CN,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Gallarate,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Genova,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Gostar,IR,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Grado,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Guangzhou,CN,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Hangzhou,CN,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Houston,US,202210,10
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Huntington Station",US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Istanbul,TR,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Izmir,TR,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Jacksonville,US,202210,6
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Jakarta,ID,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Jinan,CN,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Johannesburg,ZA,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Kansas City",US,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Karlsruhe,DE,202210,4
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Kidderminster,GB,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Kiev,UA,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Köln,DE,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Lake Forest",US,202210,12
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Lanham,US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Las Vegas",US,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",London,GB,202210,5
,Journal,"Cinéma & Cie. Film and Media Studies Journal","Los Angeles",US,202210,2
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Madrid,ES,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Maglie,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Mahwah,US,202210,3
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Malappuram,IN,202210,6
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Massarosa,IT,202210,1
,Journal,"Cinéma & Cie. Film and Media Studies Journal",Milan,IT,202210,30
